Filename,Sign
00000.ppm,Speed limit (100km/h)
00001.ppm,Speed limit (60km/h)
00002.ppm,No passing
00003.ppm,Ahead only
00004.ppm,Speed limit (60km/h)
00005.ppm,Speed limit (60km/h)
00006.ppm,No passing for vechiles over 3.5 metric tons
00007.ppm,Dangerous curve to the right
00008.ppm,Speed limit (100km/h)
00009.ppm,Stop
00010.ppm,Children crossing
00011.ppm,Ahead only
00012.ppm,Priority road
00013.ppm,Wild animals crossing
00014.ppm,Speed limit (80km/h)
00015.ppm,Speed limit (50km/h)
00016.ppm,Yield
00017.ppm,Speed limit (120km/h)
00018.ppm,Speed limit (80km/h)
00019.ppm,Speed limit (50km/h)
00020.ppm,Roundabout mandatory
00021.ppm,Speed limit (30km/h)
00022.ppm,No passing
00023.ppm,Right-of-way at the next intersection
00024.ppm,Vechiles over 3.5 metric tons prohibited
00025.ppm,Keep right
00026.ppm,Traffic signals
00027.ppm,Keep right
00028.ppm,Speed limit (50km/h)
00029.ppm,Speed limit (70km/h)
00030.ppm,Speed limit (70km/h)
00031.ppm,Keep right
00032.ppm,Priority road
00033.ppm,Keep right
00034.ppm,Right-of-way at the next intersection
00035.ppm,No passing
00036.ppm,Priority road
00037.ppm,Beware of ice/snow
00038.ppm,Speed limit (70km/h)
00039.ppm,General caution
00040.ppm,Beware of ice/snow
00041.ppm,Right-of-way at the next intersection
00042.ppm,Speed limit (70km/h)
00043.ppm,Yield
00044.ppm,Yield
00045.ppm,Bicycles crossing
00046.ppm,No entry
00047.ppm,Speed limit (100km/h)
00048.ppm,Speed limit (50km/h)
00049.ppm,Speed limit (70km/h)
00050.ppm,Speed limit (60km/h)
00051.ppm,Children crossing
00052.ppm,No entry
00053.ppm,No entry
00054.ppm,No passing for vechiles over 3.5 metric tons
00055.ppm,Speed limit (120km/h)
00056.ppm,Speed limit (30km/h)
00057.ppm,Beware of ice/snow
00058.ppm,Speed limit (60km/h)
00059.ppm,Speed limit (50km/h)
00060.ppm,Speed limit (60km/h)
00061.ppm,Yield
00062.ppm,Speed limit (70km/h)
00063.ppm,No vechiles
00064.ppm,Speed limit (70km/h)
00065.ppm,Ahead only
00066.ppm,Road work
00067.ppm,General caution
00068.ppm,Speed limit (30km/h)
00069.ppm,Keep right
00070.ppm,Turn left ahead
00071.ppm,Speed limit (100km/h)
00072.ppm,Priority road
00073.ppm,No passing for vechiles over 3.5 metric tons
00074.ppm,Yield
00075.ppm,Right-of-way at the next intersection
00076.ppm,Speed limit (50km/h)
00077.ppm,Priority road
00078.ppm,No entry
00079.ppm,Speed limit (120km/h)
00080.ppm,Right-of-way at the next intersection
00081.ppm,Speed limit (70km/h)
00082.ppm,Priority road
00083.ppm,Yield
00084.ppm,Speed limit (30km/h)
00085.ppm,No vechiles
00086.ppm,Right-of-way at the next intersection
00087.ppm,Stop
00088.ppm,Traffic signals
00089.ppm,Speed limit (100km/h)
00090.ppm,No passing
00091.ppm,Yield
00092.ppm,Road narrows on the right
00093.ppm,Speed limit (120km/h)
00094.ppm,Keep right
00095.ppm,Yield
00096.ppm,No passing for vechiles over 3.5 metric tons
00097.ppm,Yield
00098.ppm,Priority road
00099.ppm,Speed limit (70km/h)
00100.ppm,Speed limit (60km/h)
00101.ppm,Speed limit (70km/h)
00102.ppm,No entry
00103.ppm,Speed limit (30km/h)
00104.ppm,Turn left ahead
00105.ppm,Vechiles over 3.5 metric tons prohibited
00106.ppm,Road work
00107.ppm,No passing for vechiles over 3.5 metric tons
00108.ppm,Keep right
00109.ppm,No passing for vechiles over 3.5 metric tons
00110.ppm,Priority road
00111.ppm,Speed limit (120km/h)
00112.ppm,No vechiles
00113.ppm,Speed limit (30km/h)
00114.ppm,Speed limit (50km/h)
00115.ppm,Speed limit (120km/h)
00116.ppm,Speed limit (60km/h)
00117.ppm,Speed limit (50km/h)
00118.ppm,Speed limit (100km/h)
00119.ppm,Speed limit (70km/h)
00120.ppm,Speed limit (70km/h)
00121.ppm,Yield
00122.ppm,No passing
00123.ppm,Stop
00124.ppm,Stop
00125.ppm,Turn left ahead
00126.ppm,Priority road
00127.ppm,Yield
00128.ppm,Keep right
00129.ppm,Vechiles over 3.5 metric tons prohibited
00130.ppm,No passing for vechiles over 3.5 metric tons
00131.ppm,Speed limit (50km/h)
00132.ppm,Speed limit (30km/h)
00133.ppm,Speed limit (100km/h)
00134.ppm,Right-of-way at the next intersection
00135.ppm,Yield
00136.ppm,Yield
00137.ppm,Bicycles crossing
00138.ppm,No passing for vechiles over 3.5 metric tons
00139.ppm,Speed limit (120km/h)
00140.ppm,Speed limit (50km/h)
00141.ppm,Wild animals crossing
00142.ppm,Speed limit (70km/h)
00143.ppm,Speed limit (120km/h)
00144.ppm,No vechiles
00145.ppm,No passing for vechiles over 3.5 metric tons
00146.ppm,Speed limit (60km/h)
00147.ppm,Road narrows on the right
00148.ppm,Speed limit (30km/h)
00149.ppm,Speed limit (70km/h)
00150.ppm,Ahead only
00151.ppm,Speed limit (120km/h)
00152.ppm,Speed limit (120km/h)
00153.ppm,Speed limit (70km/h)
00154.ppm,No passing
00155.ppm,Roundabout mandatory
00156.ppm,Speed limit (70km/h)
00157.ppm,Priority road
00158.ppm,Vechiles over 3.5 metric tons prohibited
00159.ppm,Speed limit (70km/h)
00160.ppm,Turn left ahead
00161.ppm,Ahead only
00162.ppm,Speed limit (100km/h)
00163.ppm,Speed limit (70km/h)
00164.ppm,Ahead only
00165.ppm,Speed limit (70km/h)
00166.ppm,Speed limit (50km/h)
00167.ppm,Turn right ahead
00168.ppm,Go straight or right
00169.ppm,Speed limit (60km/h)
00170.ppm,Speed limit (80km/h)
00171.ppm,Speed limit (30km/h)
00172.ppm,Bumpy road
00173.ppm,Keep left
00174.ppm,No entry
00175.ppm,Speed limit (80km/h)
00176.ppm,Priority road
00177.ppm,Right-of-way at the next intersection
00178.ppm,No vechiles
00179.ppm,No passing
00180.ppm,Speed limit (50km/h)
00181.ppm,Turn right ahead
00182.ppm,Speed limit (30km/h)
00183.ppm,General caution
00184.ppm,Turn right ahead
00185.ppm,No vechiles
00186.ppm,Dangerous curve to the right
00187.ppm,Ahead only
00188.ppm,Speed limit (20km/h)
00189.ppm,Speed limit (120km/h)
00190.ppm,Beware of ice/snow
00191.ppm,Road work
00192.ppm,Priority road
00193.ppm,Priority road
00194.ppm,Wild animals crossing
00195.ppm,Roundabout mandatory
00196.ppm,Priority road
00197.ppm,Bumpy road
00198.ppm,No passing for vechiles over 3.5 metric tons
00199.ppm,Keep right
00200.ppm,Speed limit (30km/h)
00201.ppm,No passing
00202.ppm,Speed limit (120km/h)
00203.ppm,Keep right
00204.ppm,Speed limit (100km/h)
00205.ppm,General caution
00206.ppm,Turn left ahead
00207.ppm,Speed limit (120km/h)
00208.ppm,Speed limit (60km/h)
00209.ppm,Speed limit (50km/h)
00210.ppm,Road work
00211.ppm,Keep right
00212.ppm,No passing for vechiles over 3.5 metric tons
00213.ppm,Bumpy road
00214.ppm,Slippery road
00215.ppm,No passing for vechiles over 3.5 metric tons
00216.ppm,Speed limit (30km/h)
00217.ppm,Speed limit (120km/h)
00218.ppm,Keep right
00219.ppm,Speed limit (60km/h)
00220.ppm,No passing
00221.ppm,Speed limit (70km/h)
00222.ppm,Bicycles crossing
00223.ppm,Speed limit (70km/h)
00224.ppm,Speed limit (100km/h)
00225.ppm,Speed limit (80km/h)
00226.ppm,Traffic signals
00227.ppm,Speed limit (50km/h)
00228.ppm,Speed limit (70km/h)
00229.ppm,Speed limit (30km/h)
00230.ppm,Priority road
00231.ppm,Wild animals crossing
00232.ppm,No passing for vechiles over 3.5 metric tons
00233.ppm,Speed limit (50km/h)
00234.ppm,Speed limit (70km/h)
00235.ppm,Speed limit (30km/h)
00236.ppm,No passing
00237.ppm,Keep left
00238.ppm,Turn left ahead
00239.ppm,No passing
00240.ppm,No passing for vechiles over 3.5 metric tons
00241.ppm,Speed limit (50km/h)
00242.ppm,Priority road
00243.ppm,Right-of-way at the next intersection
00244.ppm,Speed limit (30km/h)
00245.ppm,Double curve
00246.ppm,Speed limit (50km/h)
00247.ppm,Priority road
00248.ppm,Speed limit (100km/h)
00249.ppm,No vechiles
00250.ppm,Speed limit (70km/h)
00251.ppm,Yield
00252.ppm,Speed limit (80km/h)
00253.ppm,Speed limit (30km/h)
00254.ppm,Turn left ahead
00255.ppm,Yield
00256.ppm,Speed limit (100km/h)
00257.ppm,Speed limit (50km/h)
00258.ppm,Road narrows on the right
00259.ppm,Go straight or right
00260.ppm,Speed limit (60km/h)
00261.ppm,Speed limit (50km/h)
00262.ppm,No entry
00263.ppm,Road work
00264.ppm,No vechiles
00265.ppm,Priority road
00266.ppm,Keep right
00267.ppm,Priority road
00268.ppm,Speed limit (100km/h)
00269.ppm,Speed limit (60km/h)
00270.ppm,Keep right
00271.ppm,Speed limit (60km/h)
00272.ppm,Priority road
00273.ppm,Yield
00274.ppm,Children crossing
00275.ppm,Road work
00276.ppm,Speed limit (30km/h)
00277.ppm,Keep right
00278.ppm,End of speed limit (80km/h)
00279.ppm,Yield
00280.ppm,Yield
00281.ppm,Speed limit (70km/h)
00282.ppm,Speed limit (80km/h)
00283.ppm,Speed limit (100km/h)
00284.ppm,Children crossing
00285.ppm,Speed limit (100km/h)
00286.ppm,Speed limit (80km/h)
00287.ppm,Roundabout mandatory
00288.ppm,Speed limit (50km/h)
00289.ppm,Turn right ahead
00290.ppm,Speed limit (80km/h)
00291.ppm,No passing
00292.ppm,Speed limit (30km/h)
00293.ppm,Yield
00294.ppm,Beware of ice/snow
00295.ppm,Road narrows on the right
00296.ppm,Priority road
00297.ppm,Speed limit (30km/h)
00298.ppm,Keep left
00299.ppm,Speed limit (80km/h)
00300.ppm,General caution
00301.ppm,Priority road
00302.ppm,Yield
